employeeNumber,firstName,lastName,customerCount
1401,Pamela,Castillo,10
1504,Barry,Jones,9
1323,George,Vanauf,8
1501,Larry,Bott,8
1370,Gerard,Hernandez,7
1286,"Foon Yue",Tseng,7
1166,Leslie,Thompson,6
1165,Leslie,Jennings,6
1337,Loui,Bondur,6
1216,Steve,Patterson,6
1188,Julie,Firrelli,6
1702,Martin,Gerard,6
1611,Andy,Fixter,5
1621,Mami,Nishi,5
1612,Peter,Marsh,5
1002,Diane,Murphy,0
1056,Mary,Patterson,0
1076,Jeff,Firrelli,0
1088,William,Patterson,0
1102,Gerard,Bondur,0
1143,Anthony,Bow,0
1619,Tom,King,0
1625,Yoshimi,Kato,0
